YEAR,WHITE,AFRICAN AMERICAN,LATINO,ASIAN
1947,98.30%,0.90%,0.70%,0.00%
1948,98.50%,0.70%,0.70%,0.00%
1949,96.60%,1.50%,1.90%,0.00%
1950,95.30%,1.70%,3.00%,0.00%
1951,94.30%,2.90%,2.80%,0.00%
1952,94.40%,2.90%,2.70%,0.00%
1953,93.30%,3.70%,3.00%,0.00%
1954,90.70%,5.60%,3.70%,0.00%
1955,89.80%,5.20%,5.00%,0.00%
1956,88.20%,6.70%,5.10%,0.00%
1957,88.10%,6.70%,5.20%,0.00%
1958,86.70%,7.40%,5.90%,0.00%
1959,84.80%,8.80%,6.50%,0.00%
1960,82.30%,8.90%,8.90%,0.00%
1961,82.60%,9.70%,7.70%,0.00%
1962,81.90%,10.10%,8.00%,0.00%
1963,80.10%,11.70%,8.20%,0.00%
1964,79.30%,11.70%,8.90%,0.10%
1965,78.30%,12.70%,8.80%,0.10%
1966,76.90%,13.40%,9.70%,0.00%
1967,75.60%,13.60%,10.70%,0.00%
1968,73.80%,15.40%,10.80%,0.00%
1969,74.40%,14.50%,11.10%,0.00%
1970,73.70%,14.60%,11.70%,0.00%
1971,73.90%,15.50%,10.60%,0.00%
1972,72.90%,16.10%,10.90%,0.00%
1973,71.60%,17.40%,11.00%,0.00%
1974,71.10%,17.40%,11.50%,0.00%
1975,71.30%,18.50%,10.20%,0.00%
1976,70.50%,18.00%,11.50%,0.00%
1977,70.70%,17.90%,11.40%,0.00%
1978,71.30%,17.40%,11.30%,0.00%
1979,71.40%,17.90%,10.70%,0.00%
1980,71.10%,17.40%,11.60%,0.00%
1981,70.10%,18.70%,11.10%,0.00%
1982,70.40%,17.90%,11.70%,0.00%
1983,70.30%,18.00%,11.60%,0.00%
1984,69.60%,18.40%,12.00%,0.00%
1985,70.30%,18.30%,11.30%,0.00%
1986,70.00%,18.30%,11.80%,0.00%
1987,69.90%,17.70%,12.30%,0.00%
1988,68.20%,17.30%,14.50%,0.00%
1989,70.30%,16.50%,13.20%,0.00%
1990,68.60%,16.60%,14.80%,0.00%
1991,66.80%,17.00%,16.10%,0.10%
1992,67.70%,16.70%,15.60%,0.00%
1993,66.30%,16.80%,16.90%,0.00%
1994,65.00%,17.20%,17.80%,0.10%
1995,64.50%,16.10%,19.20%,0.20%
1996,63.20%,16.00%,20.40%,0.40%
1997,60.90%,15.00%,23.50%,0.50%
1998,62.00%,14.30%,22.80%,0.80%
1999,61.70%,13.60%,23.50%,1.20%
2000,61.20%,12.80%,24.70%,1.30%
2001,60.70%,12.10%,26.00%,1.20%
2002,60.80%,10.80%,26.50%,1.90%
2003,61.00%,10.40%,26.80%,1.80%
2004,60.30%,10.10%,27.70%,1.80%
2005,60.90%,9.10%,27.80%,2.30%
2006,61.30%,9.00%,27.90%,1.90%
2007,63.10%,8.50%,26.10%,2.20%
2008,62.10%,8.20%,27.30%,2.30%
2009,62.20%,7.10%,28.50%,2.10%
2010,63.00%,7.80%,27.20%,1.90%
2011,63.50%,7.90%,26.90%,1.70%
2012,63.90%,7.20%,26.90%,1.90%
2013,63.60%,6.70%,27.70%,2.00%
2014,63.70%,6.70%,27.70%,1.80%
2015,63.40%,7.20%,27.70%,1.70%
2016,63.70%,6.70%,27.40%,2.10%
